"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime"
"22","Bdwj7umoeh8","2025-01-30T06:54:49Z","UCMscWako8oDvpdF4pppku-g","Community protests against new changes in immigration enforcement","Community members gathered in Escondido on Wednesday, protesting against the recent changes on how immigration is ...","https://i.ytimg.com/vi/Bdwj7umoeh8/default.jpg","120","90","https://i.ytimg.com/vi/Bdwj7umoeh8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Bdwj7umoeh8/hqdefault.jpg","480","360","CBS 8 San Diego","none","2025-01-30T06:54:49Z"
"23","5T347Wfpclg","2025-01-21T00:43:16Z","UCDrLGkZTcNCshOLiKi5NtEw","Chicago demonstrations protest second Trump presidency","About 80 groups, many of whom demonstrated during the Republican and Democratic National Conventions last year, converged ...","https://i.ytimg.com/vi/5T347Wfpclg/default.jpg","120","90","https://i.ytimg.com/vi/5T347Wfpclg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5T347Wfpclg/hqdefault.jpg","480","360","WGN News","none","2025-01-21T00:43:16Z"
"24","NX-1_MpIpDc","2025-01-18T22:14:38Z","UCIYLOcEUX6TbBo7HQVF2PKA","Thousands of protesters descend on US capitol ahead of Trump’s inauguration | 9 News Australia","Subscribe and : http://9Soci.al/KM6e50GjSK9 | Latest News Today | Trump inauguration looms As Donald Trump's inauguration ...","https://i.ytimg.com/vi/NX-1_MpIpDc/default.jpg","120","90","https://i.ytimg.com/vi/NX-1_MpIpDc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/NX-1_MpIpDc/hqdefault.jpg","480","360","9 News Australia","none","2025-01-18T22:14:38Z"
"25","w2vzxBW0QX0","2025-01-25T19:42:57Z","UCaXkIU1QidjPwiAYu6GcHjg","Jan. 6 rioter refuses Trump&#39;s pardon: ‘It wasn&#39;t a peaceful protest, it was an insurrection’","Katie Phang speaks with Pam Hemphill, who was found guilty in the January 6th riot, on why she is rejecting Donald Trump's ...","https://i.ytimg.com/vi/w2vzxBW0QX0/default.jpg","120","90","https://i.ytimg.com/vi/w2vzxBW0QX0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/w2vzxBW0QX0/hqdefault.jpg","480","360","MSNBC","none","2025-01-25T19:42:57Z"
"26","8CgcNf07i4s","2025-01-20T15:58:21Z","UCzuqE7-t13O4NIDYJfakrhw","People&#39;s March: Thousands Rally Against Trump in Washington Ahead of Second Inauguration","Support our work: https://democracynow.org/donate/sm-desc-yt Ahead of President elect-Donald Trump's second inauguration, ...","https://i.ytimg.com/vi/8CgcNf07i4s/default.jpg","120","90","https://i.ytimg.com/vi/8CgcNf07i4s/mqdefault.jpg","320","180","https://i.ytimg.com/vi/8CgcNf07i4s/hqdefault.jpg","480","360","Democracy Now!","none","2025-01-20T15:58:21Z"
"27","9GofH0KueKs","2025-01-23T07:22:43Z","UC5T7D-Dh1eDGtsAFCuwv_Sw","Protest groups aim to shut down Melbourne CBD on January 26 | 7NEWS","Police are bracing for mass protests on Australia Day, with activists threatening to swamp the city and the Australian Open.","https://i.ytimg.com/vi/9GofH0KueKs/default.jpg","120","90","https://i.ytimg.com/vi/9GofH0KueKs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9GofH0KueKs/hqdefault.jpg","480","360","7NEWS Australia","none","2025-01-23T07:22:43Z"
"28","2HpKfycgQZw","2025-01-30T02:06:48Z","UCDqchFCm3HNLAob6OpsLWLw","Crowds gather outside Trump Hotel in Las Vegas to protest immigration policies","Crowds gather outside Trump Hotel in Las Vegas to protest immigration policies.","https://i.ytimg.com/vi/2HpKfycgQZw/default.jpg","120","90","https://i.ytimg.com/vi/2HpKfycgQZw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2HpKfycgQZw/hqdefault.jpg","480","360","KTNV Channel 13 Las Vegas","none","2025-01-30T02:06:48Z"
"29","ra_Saexo-DQ","2025-01-19T09:33:11Z","UCO0akufu9MOzyz3nvGIXAAw","‘Pointless and silly’: Hundreds gather in Washington to protest Trump’s inauguration","Brad vs Everyone podcast host Brad Polumbo slams the “pointless and silly” marches in Washington DC protesting the ...","https://i.ytimg.com/vi/ra_Saexo-DQ/default.jpg","120","90","https://i.ytimg.com/vi/ra_Saexo-DQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ra_Saexo-DQ/hqdefault.jpg","480","360","Sky News Australia","none","2025-01-19T09:33:11Z"
"30","6eTxdooLt0M","2024-12-10T13:26:38Z","UCIjSUWHWp6KohfnR5OQTXnQ","Protests in New York City after Daniel Penny verdict","Daniel Penny, a Marine veteran who used a deadly chokehold on homeless man Jordan Neely on the New York City subway last ...","https://i.ytimg.com/vi/6eTxdooLt0M/default.jpg","120","90","https://i.ytimg.com/vi/6eTxdooLt0M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/6eTxdooLt0M/hqdefault.jpg","480","360","FOX 5 New York","none","2024-12-10T13:26:38Z"
"31","JbrAnvaG53g","2025-01-13T00:03:57Z","UCkBS_xU1WQ7FVsDoQ_OPeDg","Chicagoans protest President-elect Trump&#39;s plan for mass deportations","The administration for President-elect Trump said has vowed Chicago will be ground-zero for its plan to initiate raids and ...","https://i.ytimg.com/vi/JbrAnvaG53g/default.jpg","120","90","https://i.ytimg.com/vi/JbrAnvaG53g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/JbrAnvaG53g/hqdefault.jpg","480","360","CBS Chicago","none","2025-01-13T00:03:57Z"
